Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.03     0.00    20000     0.00     0.00  std::_Rb_tree_iterator<int>& std::forward<std::_Rb_tree_iterator<int>&>(std::remove_reference<std::_Rb_tree_iterator<int>&>::type&)
  0.00      0.03     0.00    20000     0.00     0.00  bool& std::forward<bool&>(std::remove_reference<bool&>::type&)
  0.00      0.03     0.00    20000     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.03     0.00    12702     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node::Node(int, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
  0.00      0.03     0.00    12702     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node::~Node()
  0.00      0.03     0.00    12701     0.00   426.99  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::balanceInsert(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
  0.00      0.03     0.00    12653     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::deallocate(std::_Rb_tree_node<int>*, unsigned long)
  0.00      0.03     0.00    12653     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::destroy<int>(int*)
  0.00      0.03     0.00    12653     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::allocate(unsigned long, void const*)
  0.00      0.03     0.00    12653     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::construct<int, int>(int*, int&&)
  0.00      0.03     0.00    12653     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::max_size() const
  0.00      0.03     0.00    12653     0.00     0.00  std::_Rb_tree_node<int>* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node::operator()<int>(int&&) const
  0.00      0.03     0.00    12653     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::deallocate(std::allocator<std::_Rb_tree_node<int> >&, std::_Rb_tree_node<int>*, unsigned long)
  0.00      0.03     0.00    12653     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::destroy<int>(std::allocator<std::_Rb_tree_node<int> >&, int*)
  0.00      0.03     0.00    12653     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::allocate(std::allocator<std::_Rb_tree_node<int> >&, unsigned long)
  0.00      0.03     0.00    12653     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::construct<int, int>(std::allocator<std::_Rb_tree_node<int> >&, int*, int&&)
  0.00      0.03     0.00    12653     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<int>*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<int>*&, std::_Rb_tree_node_base*&)
  0.00      0.03     0.00    12653     0.00     5.05  std::_Rb_tree_iterator<int> std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_<int, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, int&&, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node&)
  0.00      0.03     0.00    12653     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node::_Alloc_node(std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >&)
  0.00      0.03     0.00    12653     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_node()
  0.00      0.03     0.00    12653     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_put_node(std::_Rb_tree_node<int>*)
  0.00      0.03     0.00    12653     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_drop_node(std::_Rb_tree_node<int>*)
  0.00      0.03     0.00    12653     0.00     0.00  std::_Rb_tree_node<int>* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_create_node<int>(int&&)
  0.00      0.03     0.00    12653     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_destroy_node(std::_Rb_tree_node<int>*)
  0.00      0.03     0.00    12653     0.00     0.00  void std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_construct_node<int>(std::_Rb_tree_node<int>*, int&&)
  0.00      0.03     0.00    12653     0.00     0.00  std::_Rb_tree_node<int>*& std::forward<std::_Rb_tree_node<int>*&>(std::remove_reference<std::_Rb_tree_node<int>*&>::type&)
  0.00      0.03     0.00     9924     0.00     0.00  std::_Rb_tree_iterator<int>::operator==(std::_Rb_tree_iterator<int> const&) const
  0.00      0.03     0.00     9916     0.00     0.00  std::_Rb_tree_iterator<int>::operator--()
  0.00      0.03     0.00     9274     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const& std::forward<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&>(std::remove_reference<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&>::type&)
  0.00      0.03     0.00     8065     0.00   567.76  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::balanceRemove(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
  0.00      0.03     0.00     8065     0.00   571.58  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::remove(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, bool)
  0.00      0.03     0.00     8005     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator++(int)
  0.00      0.03     0.00     8005     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_erase_aux(std::_Rb_tree_const_iterator<int>)
  0.00      0.03     0.00     8005     0.00     5.13  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_lower_bound(std::_Rb_tree_node<int>*, std::_Rb_tree_node_base*, int const&)
  0.00      0.03     0.00     8005     0.00     5.11  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_upper_bound(std::_Rb_tree_node<int>*, std::_Rb_tree_node_base*, int const&)
  0.00      0.03     0.00     7725     0.00    11.61  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::rotate(bool, bool, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
