Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.85     0.00  5500118     0.00     0.00  std::_Rb_tree_iterator<int>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      2.85     0.00  4424189     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      2.85     0.00  4000004     0.00     0.00  std::_Rb_tree_const_iterator<int>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<int> const&)
  0.00      2.85     0.00  3000000     0.00     0.00  std::_Rb_tree_iterator<int>&& std::forward<std::_Rb_tree_iterator<int> >(std::remove_reference<std::_Rb_tree_iterator<int> >::type&)
  0.00      2.85     0.00  2528108     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_Node_allocator()
  0.00      2.85     0.00  2000001     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_begin()
  0.00      2.85     0.00  2000000     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::size() const
  0.00      2.85     0.00  1632026     0.00     0.00  std::_Identity<int>::operator()(int&) const
  0.00      2.85     0.00  1632016     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      2.85     0.00  1500114     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::begin()
  0.00      2.85     0.00  1497182     0.00     0.00  operator new(unsigned long, void*)
  0.00      2.85     0.00  1399320     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator!=(std::_Rb_tree_const_iterator<int> const&) const
  0.00      2.85     0.00  1264054     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      2.85     0.00  1264054     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr()
  0.00      2.85     0.00  1000004     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator==(std::_Rb_tree_const_iterator<int> const&) const
  0.00      2.85     0.00  1000000     0.00     0.00  std::set<int, std::less<int>, std::allocator<int> >::erase(int const&)
  0.00      2.85     0.00  1000000     0.00     0.00  std::set<int, std::less<int>, std::allocator<int> >::insert(int&&)
  0.00      2.85     0.00  1000000     0.00     0.00  std::pair<std::_Rb_tree_iterator<int>, std::_Rb_tree_iterator<int> >::pair<std::_Rb_tree_iterator<int>, std::_Rb_tree_iterator<int>, true>(std::_Rb_tree_iterator<int>&&, std::_Rb_tree_iterator<int>&&)
  0.00      2.85     0.00  1000000     0.00     0.00  std::pair<std::_Rb_tree_iterator<int>, bool>::pair<std::_Rb_tree_iterator<int>, bool, true>(std::_Rb_tree_iterator<int>&&, bool&&)
  0.00      2.85     0.00  1000000     0.00     0.00  std::pair<std::_Rb_tree_const_iterator<int>, bool>::pair<std::_Rb_tree_iterator<int>&, bool&, true>(std::_Rb_tree_iterator<int>&, bool&)
  0.00      2.85     0.00  1000000     0.00     0.00  std::pair<std::_Rb_tree_iterator<int>, bool> std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_unique<int>(int&&)
  0.00      2.85     0.00  1000000     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::erase(int const&)
  0.00      2.85     0.00  1000000     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      2.85     0.00  1000000     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      2.85     0.00  1000000     0.00     0.00  std::_Rb_tree_iterator<int>& std::forward<std::_Rb_tree_iterator<int>&>(std::remove_reference<std::_Rb_tree_iterator<int>&>::type&)
  0.00      2.85     0.00  1000000     0.00     0.00  bool& std::forward<bool&>(std::remove_reference<bool&>::type&)
  0.00      2.85     0.00  1000000     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
